label,keyword,id,username,created_at,text
relevant,#AHOTBKK,1933152252107366654,kzhktdykn,Thu Jun 12 13:19:47 +0000 2025,"1,2,3 sayang semuanya

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss
#AHOTBKK https://t.co/pX4wOszY63"
relevant,#AHOTBKK,1933161034124320917,unofficialclown,Thu Jun 12 13:54:41 +0000 2025,"anggep aja ini reaksi joss klo nanti guinzly ngereog😭 hanya bisa tersenyum😭

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss
#AHOTBKK
https://t.co/MWY4JR5c8m"
relevant,#AHOTBKK,1933172023741862114,thatsawyoung,Thu Jun 12 14:38:21 +0000 2025,"Bang ih, keren banget lu🫰🏻🫰🏻🫰🏻

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss
#AHOTBKK https://t.co/iTeDsTZ3KD"
relevant,#AHOTBKK,1933154828865409397,beargween,Thu Jun 12 13:30:02 +0000 2025,"Bang, kata gw kita mending menikah sih 😔

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss
#AHOTBKK https://t.co/3XTSh5NI5l"
relevant,#AHOTBKK,1933175358444154981,Noname123_wv,Thu Jun 12 14:51:36 +0000 2025,"Bayangin mereka temenan dari jaman ini 😭 keknya bakal jadi 2 bocil kematian yg hobinya matiin stopkontak listrik tetangga 🤣 kalau kek gini beneran berasa ngeliat 2 adik laki laki ku yg hobinya Jail sama brantem 

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss
#AHOTBKK https://t.co/LCfwuu3gLc"
factual,#AHOTBKK,1933170787684618490,thatsawyoung,Thu Jun 12 14:33:27 +0000 2025,"Kembali lagi dengan seminar ""sukses under 30 tahun bersama Joss Wayar"" 

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss
#AHOTBKK https://t.co/3Gs1yy25mc"
relevant,#AHOTBKK,1933196685460848675,jossrawrr,Thu Jun 12 16:16:21 +0000 2025,"Di kegelapan aja JWR glowing, lah gue kepanasan baru Glowing 🫠🫠

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss 
#AHOTBKK 

cr @aim2802 https://t.co/r5AQ6XjOhV"
relevant,#AHOTBKK,1933140626637549935,yibaobao_,Thu Jun 12 12:33:36 +0000 2025,"Disini mirip poon bgt gk sih 😫

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss 
#AHOTBKK  #JossWayar https://t.co/uhfNoHS5R3"
relevant,#AHOTBKK,1933138556417126864,Istrinyamingi_,Thu Jun 12 12:25:22 +0000 2025,"Gntg tpi takut

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss
#AHOTBKK https://t.co/MkJkbCq9RW"
relevant,#AHOTBKK,1933177922585821588,caramellatesz,Thu Jun 12 15:01:48 +0000 2025,"GUE GA SANGGUP LAGI LIAT MOMENT MEREKA YANG DISINI, DUNIA MILIK KALIAN KAH?!?!?!😭🫠😭🫠😭🫠😭🫠😭🫠

JOSSWAYAR ON BBC ARTS HOUR
#TheArtsHourBKKxJoss
#AHOTBKK https://t.co/TUB96zbr6q"
